img,description
00000_00.jpg,"The dress is a white Levi's T-shirt with a red logo on the front and blue jeans with a button and a small tear at the waist."
00001_00.jpg,"The dress is a black t-shirt with a Levi's logo on the left chest and black leather pants with a belt."
00002_00.jpg,"The dress is a black long-sleeved top with a round neckline and fitted fit, paired with blue jeans."
00003_00.jpg,"The dress is a navy blue t-shirt with a pocket and black jeans."
00005_00.jpg,"The dress is a white Levi's T-shirt with a red logo on the front and blue and white striped pants."
00007_00.jpg,"The dress is a pastel purple Adidas Originals T-shirt with white stripes on the sleeves and collar, paired with matching Adidas Originals pants."
00009_00.jpg,The dress is a black cropped t-shirt with white stripes on the sleeves and an orange mini skirt with a front zipper and side pockets.
00010_00.jpg,The dress is a Calvin Klein Jeans black T-shirt paired with beige pants.
00011_00.jpg,The dress is a black Adidas t-shirt with a sheer skirt featuring white stripes on the sleeves and waistband.
00012_00.jpg,The dress is a black long-sleeved sweatshirt with colorful text on it and blue jeans.
00014_00.jpg,"""A stylish black dress featuring a pleated bodice, long sleeves, and a belt at the waist."""
00015_00.jpg,"The dress is a grey Adidas T-shirt with white stripes on the sleeves and collar, paired with blue Adidas track pants featuring red stripes."
00016_00.jpg,"The dress is a white blouse with black geometric patterns, paired with a maroon skirt."
00018_00.jpg,"The dress is a black blouse with a tie neckline and long sleeves, paired with brown pants."
00019_00.jpg,The dress is a black Calvin Klein Jeans T-shirt with a white logo and cream-colored pants.
00022_00.jpg,"""Leopard print long-sleeved top with black skirt."""
00023_00.jpg,"""Shimmering silver turtleneck with black leather pants."""
00024_00.jpg,"The dress is a colorful striped sleeveless top with a maroon base and blue, orange, green, and yellow stripes, paired with white pants."
00025_00.jpg,The dress is a silver metallic long-sleeved top paired with black high-waisted jeans.
00026_00.jpg,The dress is a navy blue one-piece swimsuit with blue stripes on the sleeves and an Adidas logo on the chest.
00028_00.jpg,"The dress is a white long-sleeved Guess T-shirt with a red triangle logo and the text ""Guess USA Jeans"" on it, paired with blue jeans."
00029_00.jpg,The dress is a black Levi's graphic tee paired with black denim shorts.
00030_00.jpg,The dress is a blue Adidas t-shirt with white stripes on the sleeves and white denim shorts.
00031_00.jpg,"The dress is a red Adidas long-sleeved top and matching pants, featuring three white stripes on each sleeve and a small white Adidas logo on the chest."
00032_00.jpg,"The dress is a mustard yellow button-down shirt featuring a pattern of greyhounds in various poses and colors, paired with blue jeans."
00033_00.jpg,The dress is a blue and red paisley patterned blouse with a black skirt.
00036_00.jpg,The dress is a black ribbed short-sleeved top with buttons down the front and a fitted waist.
00038_00.jpg,"The dress is a black Lee t-shirt with a small red logo on the left chest area, paired with blue jeans."
00040_00.jpg,"The dress is a Calvin Klein Jeans logo T-shirt in gray color, paired with white pants."
